Crop Number,Variety,GB Grade,Area (ha),County,Producer,Organic
164307,HERMES,PB,0.028,Aberdeen,Cullen Allen Ltd,No
164308,HARRY,PB,0.038,Aberdeen,Cullen Allen Ltd,No
164309,HERMES,S,0.1,Perth,Cygnet PEP Ltd,No
164310,HARRY,PB,0.039,Aberdeen,Cullen Allen Ltd,No
164311,INNOVATOR,S,0.1,Perth,HZPC UK Limited,No
164312,LADY ROSETTA,S,0.1,Perth,Cygnet PEP Ltd,No
164313,MANITOU,S,0.1,Perth,Agrico UK Ltd,No
164314,MARKIES,S,0.1,Perth,Agrico UK Ltd,No
164316,SH C 1010,PB,0.033,Aberdeen,Stet Potato Ltd,No
164317,MIRANDA,S,0.1,Perth,Solana Seeds United Kingdom Ltd,No
164318,OPAL,S,0.1,Perth,Solana Seeds United Kingdom Ltd,No
164319,GEORGINA,PB,0.075,Aberdeen,Branston Ltd,No
164320,LANORMA,PB,0.033,Aberdeen,Branston Ltd,No
164322,MARIS PEER,PB,0.033,Aberdeen,A T Wilson & Co,No
164323,JACKY,PB,0.02,Aberdeen,Agrico UK Ltd,No
164324,GATSBY,S,0.4,Perth,Cygnet Potato Breeders Ltd,No
164325,KINGSMAN,S,3,Perth,Cygnet Potato Breeders Ltd,No
164327,HERMES,E,4.2,Aberdeen,George Ferries Ltd,No
164328,DESIREE,SE,2,Aberdeen,George Ferries Ltd,No
164329,MANHATTAN,S,8.7,Fife,Cygnet Potato Breeders Ltd,No
164330,MANHATTAN,S,2.2,Fife,Cygnet Potato Breeders Ltd,No
164331,MANHATTAN,S,8.6,Fife,Cygnet Potato Breeders Ltd,No
164332,SAXON,S,6.3,Fife,Cygnet Potato Breeders Ltd,No
164333,SAXON,S,1.4,Fife,Cygnet Potato Breeders Ltd,No
164336,CARA,S,1.6,Angus,IPM Potato Group Ltd,No
164349,CARA,E,23,Aberdeen,Sootywells Farms,No
164350,CARA,S,4,Aberdeen,Sootywells Farms,No
